كود,الوصف,الوحدة,سعر الوحدة
WI021,تمديد خطوط الألياف البصرية عالية السرعة,متر طولي,85.75
WI022,تركيب محطات فرعية للتوزيع الكهربائي,عدد,15000.00
WI023,أعمال الطلاء الواقي من الصدأ,متر مربع,25.50
WI024,تركيب أنظمة مراقبة ذكية متطورة,نظام,4500.00
WI025,تنفيذ أعمال العزل الحراري والمائي,متر مربع,45.25
WI026,تركيب معدات القياس الرقمية الذكية,عدد,750.00
WI027,أعمال التكييف لمحطات كهربائية,وحدة,2800.00
WI028,تركيب كاميرات مراقبة عالية الدقة,عدد,650.00
WI029,أعمال البرمجة وأنظمة التحكم الآلي,نظام,5500.00
WI030,الفحص والاستلام النهائي للمشروع,مشروع,1000.00 